sku,categoria,marca,descricao,preco_tabela,custo,fornecedor
SKU-0001,Cerveja,Boêmia Mineira,Boêmia Mineira Cerveja Lata 473ml cx12,59.08,39.20,Distribuidora Vale Verde
SKU-0002,Cerveja,Serra Dourada,Serra Dourada Cerveja Lata 350ml cx12,52.00,34.46,Comercial Pedra Branca
SKU-0003,Água,Cristal da Serra,"Cristal da Serra Água Garrafa 1,5L cx6",24.99,20.15,Comercial Pedra Branca
SKU-0004,Cerveja,Boêmia Mineira,Boêmia Mineira Cerveja Lata 350ml cx12,101.62,75.62,Bebidas Mantiqueira S.A.
SKU-0005,Cerveja,Boêmia Mineira,Boêmia Mineira Cerveja Lata 473ml cx12,98.97,71.78,Fábrica Alto da Serra
SKU-0006,Suco,Serra Verde,Serra Verde Suco Garrafa 300ml cx12,77.04,58.23,Bebidas Mantiqueira S.A.
SKU-0007,Cerveja,Vale do Ouro,Vale do Ouro Cerveja Lata 350ml cx12,59.88,42.15,Comercial Pedra Branca
SKU-0008,Refrigerante,Refrix,Refrix Refrigerante Lata 350ml cx12,69.63,53.53,Grupo Serrano Bebidas
SKU-0009,Refrigerante,Tuiuiú,Tuiuiú Refrigerante PET 600ml cx12,41.68,29.31,Envasadora Minas Sul
SKU-0010,Suco,Frutta Viva,Frutta Viva Suco Garrafa 300ml cx12,73.58,49.51,Bebidas Mantiqueira S.A.
SKU-0011,Refrigerante,Tuiuiú,Tuiuiú Refrigerante PET 2L cx6,61.97,43.46,Comercial Pedra Branca
SKU-0012,Energético,Voltz,Voltz Energético Lata 473ml cx6,125.80,89.59,Bebidas Mantiqueira S.A.
SKU-0013,Suco,Serra Verde,Serra Verde Suco Caixa 1L cx12,41.18,27.75,Distribuidora Vale Verde
SKU-0014,Energético,Trovão,Trovão Energético Lata 473ml cx6,110.61,73.83,Fábrica Alto da Serra
SKU-0015,Cerveja,Vale do Ouro,Vale do Ouro Cerveja Long Neck 355ml cx24,119.36,84.81,Grupo Serrano Bebidas
SKU-0016,Refrigerante,Refrix,Refrix Refrigerante Lata 350ml cx12,36.08,23.57,Fábrica Alto da Serra
SKU-0017,Cerveja,Vale do Ouro,Vale do Ouro Cerveja Garrafa 600ml cx12,72.42,47.65,Fábrica Alto da Serra
SKU-0018,Cerveja,Alpina,Alpina Cerveja Long Neck 355ml cx24,56.36,39.77,Bebidas Mantiqueira S.A.
SKU-0019,Suco,Pomar Real,"Pomar Real Suco PET 1,5L cx6",47.94,39.16,Bebidas Mantiqueira S.A.
SKU-0020,Cerveja,Boêmia Mineira,Boêmia Mineira Cerveja Lata 473ml cx12,65.91,48.10,Envasadora Minas Sul
SKU-0021,Refrigerante,Guaraná Serrano,Guaraná Serrano Refrigerante Lata 350ml cx12,50.37,37.84,Comercial Pedra Branca
SKU-0022,Cerveja,Imperial Minas,Imperial Minas Cerveja Lata 473ml cx12,76.77,61.72,Fábrica Alto da Serra
SKU-0023,Água,Minas Pura,Minas Pura Água Garrafa 500ml cx12,30.53,22.97,Bebidas Mantiqueira S.A.
SKU-0024,Água,Fonte Azul,Fonte Azul Água Galão 20L un,24.86,17.68,Grupo Serrano Bebidas
SKU-0025,Suco,Pomar Real,Pomar Real Suco Garrafa 300ml cx12,44.57,36.16,Grupo Serrano Bebidas
SKU-0026,Cerveja,Serra Dourada,Serra Dourada Cerveja Lata 350ml cx12,51.46,38.39,Comercial Pedra Branca
SKU-0027,Água,Fonte Azul,"Fonte Azul Água Garrafa 1,5L cx6",19.36,15.79,Fábrica Alto da Serra
SKU-0028,Refrigerante,Refrix,Refrix Refrigerante PET 600ml cx12,56.00,40.47,Envasadora Minas Sul
SKU-0029,Cerveja,Imperial Minas,Imperial Minas Cerveja Garrafa 600ml cx12,51.35,40.52,Comercial Pedra Branca
SKU-0030,Água,Cristal da Serra,Cristal da Serra Água Galão 20L un,31.66,25.01,Comercial Pedra Branca
SKU-0031,Cerveja,Serra Dourada,Serra Dourada Cerveja Lata 473ml cx12,106.41,74.24,Comercial Pedra Branca
SKU-0032,Água,Minas Pura,Minas Pura Água Garrafa 500ml cx12,37.81,28.81,Fábrica Alto da Serra
SKU-0033,Cerveja,Serra Dourada,Serra Dourada Cerveja Garrafa 600ml cx12,99.19,69.45,Envasadora Minas Sul
SKU-0034,Cerveja,Alpina,Alpina Cerveja Long Neck 355ml cx24,101.46,73.17,Grupo Serrano Bebidas
SKU-0035,Refrigerante,Tuiuiú,Tuiuiú Refrigerante Lata 350ml cx12,42.68,28.48,Envasadora Minas Sul
SKU-0036,Refrigerante,Guaraná Serrano,Guaraná Serrano Refrigerante PET 2L cx6,54.12,37.18,Comercial Pedra Branca
SKU-0037,Refrigerante,Refrix,Refrix Refrigerante PET 600ml cx12,49.74,39.81,Comercial Pedra Branca
SKU-0038,Água,Fonte Azul,Fonte Azul Água Galão 20L un,32.96,26.86,Fábrica Alto da Serra
SKU-0039,Água,Minas Pura,Minas Pura Água Garrafa 500ml cx12,31.41,21.17,Grupo Serrano Bebidas
SKU-0040,Água,Minas Pura,Minas Pura Água Galão 20L un,35.00,26.64,Bebidas Mantiqueira S.A.
SKU-0041,Água,Cristal da Serra,"Cristal da Serra Água Garrafa 1,5L cx6",28.88,23.17,Bebidas Mantiqueira S.A.
SKU-0042,Refrigerante,Horizonte,Horizonte Refrigerante Lata 350ml cx12,67.47,54.99,Distribuidora Vale Verde
SKU-0043,Água,Cristal da Serra,Cristal da Serra Água Garrafa 500ml cx12,41.73,33.21,Comercial Pedra Branca
SKU-0044,Refrigerante,Tuiuiú,Tuiuiú Refrigerante PET 2L cx6,39.15,28.18,Comercial Pedra Branca
SKU-0045,Refrigerante,Refrix,Refrix Refrigerante Lata 350ml cx12,33.90,26.20,Bebidas Mantiqueira S.A.
SKU-0046,Energético,Voltz,Voltz Energético Lata 473ml cx6,155.54,115.95,Comercial Pedra Branca
SKU-0047,Cerveja,Serra Dourada,Serra Dourada Cerveja Garrafa 600ml cx12,75.30,49.32,Grupo Serrano Bebidas
SKU-0048,Refrigerante,Tuiuiú,Tuiuiú Refrigerante PET 600ml cx12,32.18,22.42,Fábrica Alto da Serra
SKU-0049,Energético,Voltz,Voltz Energético Lata 473ml cx6,174.78,122.49,Envasadora Minas Sul
SKU-0050,Refrigerante,Tuiuiú,Tuiuiú Refrigerante PET 2L cx6,32.87,21.38,Envasadora Minas Sul
SKU-0051,Água,Cristal da Serra,Cristal da Serra Água Galão 20L un,37.65,27.78,Grupo Serrano Bebidas
SKU-0052,Cerveja,Imperial Minas,Imperial Minas Cerveja Long Neck 355ml cx24,68.52,54.56,Grupo Serrano Bebidas
SKU-0053,Refrigerante,Guaraná Serrano,Guaraná Serrano Refrigerante PET 600ml cx12,55.54,42.14,Comercial Pedra Branca
